0.126,-0.11,1.11,5.75,68.33,1,8.9354,0.902920001993532
0.126,-0.11,1.11,5.75,82.35,1,5.7024,0.449192219433952
0.126,-0.11,1.11,5.75,97.13,1,3.5973,0.324610920949989
0.126,-0.11,1.11,5.75,112.2,1,2.9545,0.290160731319729
0.126,-0.11,1.11,5.75,127.27,1,2.604,0.288718444163167
0.126,-0.11,1.11,5.75,142.33,1,2.1674,0.199620765452896
0.126,-0.11,1.11,5.75,157.4,1,2.1833,0.195456414578801
0.126,-0.11,1.11,5.75,172.47,1,1.9659,0.261473708047291
0.126,-0.11,1.11,5.75,187.53,1,2.3694,0.279740826480512
0.126,-0.11,1.11,5.75,202.6,1,2.1443,0.201785876611818
0.126,-0.11,1.11,5.75,217.67,1,2.4837,0.285282403943882
0.126,-0.11,1.11,5.75,232.73,1,2.4709,0.264779455396373
0.126,-0.11,1.11,5.75,247.8,1,3.0839,0.302357156356518
0.126,-0.11,1.11,5.75,262.87,1,3.4295,0.289398859707498
0.126,-0.11,1.11,5.75,277.65,1,5.3907,0.473037884317948
0.126,-0.11,1.11,5.75,291.67,1,9.0739,1.09870571583113
0.126,-0.15,1.11,5.75,68.12,1,5.0617,0.498968265523971
0.126,-0.15,1.11,5.75,82.03,1,3.1358,0.456410451238794
0.126,-0.15,1.11,5.75,97.11,1,2.498,0.227663721308425
0.126,-0.15,1.11,5.75,112.18,1,1.7895,0.185103457558199
0.126,-0.15,1.11,5.75,127.26,1,1.345,0.173838833406118
0.126,-0.15,1.11,5.75,142.33,1,1.3565,0.146258162165398
0.126,-0.15,1.11,5.75,157.4,1,1.3242,0.132742043076035
0.126,-0.15,1.11,5.75,172.47,1,1.2156,0.19987358504815
0.126,-0.15,1.11,5.75,187.53,1,1.2164,0.146774180290676
0.126,-0.15,1.11,5.75,202.6,1,1.2284,0.119326862021927
0.126,-0.15,1.11,5.75,217.67,1,1.2196,0.111560028684112
0.126,-0.15,1.11,5.75,232.74,1,1.3916,0.148088790933008
0.126,-0.15,1.11,5.75,247.82,1,1.6852,0.2211875448573
0.126,-0.15,1.11,5.75,262.89,1,2.1674,0.190479316462444
0.126,-0.15,1.11,5.75,277.97,1,3.6278,0.33133591715961
0.126,-0.15,1.11,5.75,291.88,1,4.8063,0.544900467975574
0.126,-0.2,1.11,5.75,67.53,1,3.1688,0.577281976160697
0.126,-0.2,1.11,5.75,82,1,2.4884,0.264208743231559
0.126,-0.2,1.11,5.75,97.09,1,1.6622,0.179272780979155
0.126,-0.2,1.11,5.75,112.17,1,1.2373,0.166508648424038
0.126,-0.2,1.11,5.75,127.25,1,0.8238,0.148489056835849
0.126,-0.2,1.11,5.75,142.32,1,0.7833,0.153986557854898
0.126,-0.2,1.11,5.75,157.39,1,0.8914,0.093398126319536
0.126,-0.2,1.11,5.75,172.46,1,0.74,0.113370410601709
0.126,-0.2,1.11,5.75,187.54,1,0.7966,0.163113334831951
0.126,-0.2,1.11,5.75,202.61,1,0.6193,0.0799064452969847
0.126,-0.2,1.11,5.75,217.68,1,0.7481,0.115397920258556
0.126,-0.2,1.11,5.75,232.75,1,0.9311,0.115112553616015
0.126,-0.2,1.11,5.75,247.83,1,0.999,0.140334528894353
0.126,-0.2,1.11,5.75,262.91,1,1.536,0.168672374738722
0.126,-0.2,1.11,5.75,278,1,1.834,0.392908398993964
0.126,-0.2,1.11,5.75,292.47,1,2.8245,0.487952876823162
0.126,-0.26,1.11,5.75,55.41,1,2.2281,0.450080881620182
0.126,-0.26,1.11,5.75,66.94,1,2.2591,0.359500222531225
0.126,-0.26,1.11,5.75,81.98,1,1.2245,0.160215417485334
0.126,-0.26,1.11,5.75,97.08,1,0.7881,0.108725571969063
0.126,-0.26,1.11,5.75,112.16,1,0.7875,0.141141241315216
0.126,-0.26,1.11,5.75,127.24,1,0.5334,0.093672034247154
0.126,-0.26,1.11,5.75,142.32,1,0.485,0.0555226980612434
0.126,-0.26,1.11,5.75,157.39,1,0.5123,0.0590190647164118
0.126,-0.26,1.11,5.75,172.46,1,0.5262,0.0663272191487024
0.126,-0.26,1.11,5.75,187.54,1,0.3819,0.0588314541720668
0.126,-0.26,1.11,5.75,202.61,1,0.406,0.0664723250684072
0.126,-0.26,1.11,5.75,217.68,1,0.462,0.0628039807655534
0.126,-0.26,1.11,5.75,232.76,1,0.5933,0.0859406772139945
