0.357,-0.177,1.49,3.355,15.0,1,0.4013,0.021
0.357,-0.177,1.49,3.355,45.0,1,0.3423,0.017
0.357,-0.177,1.49,3.355,75.0,1,0.2736,0.015
0.357,-0.177,1.49,3.355,105.0,1,0.21259999999999998,0.013
0.357,-0.177,1.49,3.355,135.0,1,0.1775,0.011
0.357,-0.177,1.49,3.355,165.0,1,0.155,0.01
0.357,-0.177,1.49,3.355,195.0,1,0.14909999999999998,0.01
0.357,-0.177,1.49,3.355,225.0,1,0.1559,0.011
0.357,-0.177,1.49,3.355,255.0,1,0.21830000000000002,0.013
0.357,-0.177,1.49,3.355,285.0,1,0.287,0.015
0.357,-0.177,1.49,3.355,315.0,1,0.3506,0.018
0.357,-0.177,1.49,3.355,345.0,1,0.4035,0.02
