0.363,-0.207,3.167,7.383,7.5,1,0.04685,0.00152,0.00069,0.00056
0.363,-0.207,3.167,7.383,22.5,1,0.043,0.00145,0.00054,0.00068
0.363,-0.207,3.167,7.383,37.5,1,0.0412,0.00141,0.00024,0.00079
0.363,-0.207,3.167,7.383,52.5,1,0.03692,0.00133,0.00108,0.00046
0.363,-0.207,3.167,7.383,67.5,1,0.03529,0.00125,0.00037,0.00043
0.363,-0.207,3.167,7.383,82.5,1,0.02995,0.00115,0.00085,0.00029
0.363,-0.207,3.167,7.383,97.5,1,0.02703,0.00107,0.00074,0.00037
0.363,-0.207,3.167,7.383,112.5,1,0.02304,0.00097,0.00028,0.00038
0.363,-0.207,3.167,7.383,127.5,1,0.02258,0.00096,0.00079,0.00049
0.363,-0.207,3.167,7.383,142.5,1,0.02119,0.00094,0.00043,0.00033
0.363,-0.207,3.167,7.383,157.5,1,0.02063,0.00092,0.00052,0.00004
0.363,-0.207,3.167,7.383,172.5,1,0.01966,0.00088,0.00045,0.00027
0.363,-0.207,3.167,7.383,187.5,1,0.0212,0.00093,0.00014,0.0005
0.363,-0.207,3.167,7.383,202.5,1,0.02104,0.00093,0.00023,0.00034
0.363,-0.207,3.167,7.383,217.5,1,0.02064,0.00093,0.00014,0.00079
0.363,-0.207,3.167,7.383,232.5,1,0.02057,0.00094,0.00028,0.00034
0.363,-0.207,3.167,7.383,247.5,1,0.02456,0.00104,0.00027,0.00048
0.363,-0.207,3.167,7.383,262.5,1,0.02719,0.00108,0.00066,0.00032
0.363,-0.207,3.167,7.383,277.5,1,0.02885,0.00114,0.00069,0.00007
0.363,-0.207,3.167,7.383,292.5,1,0.03594,0.00129,0.00067,0.00034
0.363,-0.207,3.167,7.383,307.5,1,0.03933,0.00132,0.00032,0.00057
0.363,-0.207,3.167,7.383,322.5,1,0.04277,0.00141,0.00057,0.00095
0.363,-0.207,3.167,7.383,337.5,1,0.04669,0.0015,0.00001,0.00083
0.363,-0.207,3.167,7.383,352.5,1,0.05042,0.00154,0.00043,0.00074
0.363,-0.293,3.169,7.383,7.5,1,0.04274,0.00173,0.00077,0.00104
0.363,-0.293,3.169,7.383,22.5,1,0.03845,0.00159,0.00106,0.00041
0.363,-0.293,3.169,7.383,37.5,1,0.03587,0.00147,0.00098,0.00008
0.363,-0.293,3.169,7.383,52.5,1,0.03162,0.0013,0.00086,0.00055
0.363,-0.293,3.169,7.383,67.5,1,0.02425,0.0011,0.00035,0.00035
0.363,-0.293,3.169,7.383,82.5,1,0.02062,0.001,0.0001,0.0005
0.363,-0.293,3.169,7.383,97.5,1,0.01769,0.0009,0.00058,0.00042
0.363,-0.293,3.169,7.383,112.5,1,0.01511,0.00081,0.00034,0.00023
0.363,-0.293,3.169,7.383,127.5,1,0.01295,0.00076,0.00036,0.00008
