0.613,-1.112,8.501,10.591,7.5,1,0.000314,0.000070
0.613,-1.112,8.501,10.591,22.5,1,0.000207,0.000046
0.613,-1.112,8.501,10.591,37.5,1,0.000185,0.000028
0.613,-1.112,8.501,10.591,52.5,1,0.000131,0.000017
0.613,-1.112,8.501,10.591,67.5,1,0.000151,0.000015
0.613,-1.112,8.501,10.591,82.5,1,0.000160,0.000015
0.613,-1.112,8.501,10.591,97.5,1,0.000139,0.000013
0.613,-1.112,8.501,10.591,112.5,1,0.000140,0.000013
0.613,-1.112,8.501,10.591,127.5,1,0.000123,0.000012
0.613,-1.112,8.501,10.591,142.5,1,0.000120,0.000012
0.613,-1.112,8.501,10.591,157.5,1,0.000122,0.000012
0.613,-1.112,8.501,10.591,172.5,1,0.000117,0.000012
0.613,-1.112,8.501,10.591,187.5,1,0.000106,0.000012
0.613,-1.112,8.501,10.591,202.5,1,0.000125,0.000013
0.613,-1.112,8.501,10.591,217.5,1,0.000143,0.000014
0.613,-1.112,8.501,10.591,232.5,1,0.000165,0.000015
0.613,-1.112,8.501,10.591,247.5,1,0.000147,0.000014
0.613,-1.112,8.501,10.591,262.5,1,0.000132,0.000014
0.613,-1.112,8.501,10.591,277.5,1,0.000162,0.000015
0.613,-1.112,8.501,10.591,292.5,1,0.000180,0.000016
0.613,-1.112,8.501,10.591,307.5,1,0.000193,0.000018
0.613,-1.112,8.501,10.591,322.5,1,0.000150,0.000024
0.613,-1.112,8.501,10.591,337.5,1,0.000210,0.000046
0.613,-1.112,8.501,10.591,352.5,1,0.000151,0.000065
