0.497,-0.375,4.497,8.851,7.5,1,0.00339,0.00022
0.497,-0.375,4.497,8.851,22.5,1,0.00357,0.00023
0.497,-0.375,4.497,8.851,37.5,1,0.00328,0.00021
0.497,-0.375,4.497,8.851,52.5,1,0.00343,0.00021
0.497,-0.375,4.497,8.851,67.5,1,0.00326,0.00020
0.497,-0.375,4.497,8.851,82.5,1,0.00346,0.00020
0.497,-0.375,4.497,8.851,97.5,1,0.00302,0.00020
0.497,-0.375,4.497,8.851,112.5,1,0.00302,0.00019
0.497,-0.375,4.497,8.851,127.5,1,0.00307,0.00019
0.497,-0.375,4.497,8.851,142.5,1,0.00290,0.00019
0.497,-0.375,4.497,8.851,157.5,1,0.00279,0.00019
0.497,-0.375,4.497,8.851,172.5,1,0.00262,0.00018
0.497,-0.375,4.497,8.851,187.5,1,0.00292,0.00019
0.497,-0.375,4.497,8.851,202.5,1,0.00315,0.00020
0.497,-0.375,4.497,8.851,217.5,1,0.00259,0.00019
0.497,-0.375,4.497,8.851,232.5,1,0.00253,0.00018
0.497,-0.375,4.497,8.851,247.5,1,0.00300,0.00020
0.497,-0.375,4.497,8.851,262.5,1,0.00341,0.00021
0.497,-0.375,4.497,8.851,277.5,1,0.00327,0.00020
0.497,-0.375,4.497,8.851,292.5,1,0.00370,0.00021
0.497,-0.375,4.497,8.851,307.5,1,0.00296,0.00019
0.497,-0.375,4.497,8.851,322.5,1,0.00329,0.00020
0.497,-0.375,4.497,8.851,337.5,1,0.00335,0.00022
0.497,-0.375,4.497,8.851,352.5,1,0.00354,0.00022
