0.359,-0.18,1.51,5.55,15.0,2,.00355,.0067
0.359,-0.18,1.51,5.55,45.0,2,.0117,.0064
0.359,-0.18,1.51,5.55,75.0,2,.0116,.0060
0.359,-0.18,1.51,5.55,105.0,2,.010877,.0055
0.359,-0.18,1.51,5.55,135.0,2,.0144,.0052
0.359,-0.18,1.51,5.55,165.0,2,.0092,.0051
0.359,-0.18,1.51,5.55,195.0,2,.00539,.0052
0.359,-0.18,1.51,5.55,225.0,2,-.00299,.0053
0.359,-0.18,1.51,5.55,255.0,2,-.0127,.0056
0.359,-0.18,1.51,5.55,285.0,2,-.00869,.0060
0.359,-0.18,1.51,5.55,315.0,2,-.00348,.0064
0.359,-0.18,1.51,5.55,345.0,2,-.00633,.0066
