0.368,-0.232,1.933,5.75,7.5,1,0.0769,0.0042,0,.0011
0.368,-0.232,1.933,5.75,22.5,1,0.0686,0.0037,0,.0028
0.368,-0.232,1.933,5.75,37.5,1,0.0617,0.0032,0,.0026
0.368,-0.232,1.933,5.75,52.5,1,0.0669,0.0030,0,.0012
0.368,-0.232,1.933,5.75,67.5,1,0.0555,0.0027,0,.0020
0.368,-0.232,1.933,5.75,82.5,1,0.0461,0.0024,.0001,.0009
0.368,-0.232,1.933,5.75,97.5,1,0.0401,0.0021,.0001,.0014
0.368,-0.232,1.933,5.75,112.5,1,0.0377,0.0020,0,.0031
0.368,-0.232,1.933,5.75,127.5,1,0.034,0.0018,0,.0022
0.368,-0.232,1.933,5.75,142.5,1,0.0339,0.0017,0,.0009
0.368,-0.232,1.933,5.75,157.5,1,0.0346,0.0017,.0002,.0005
0.368,-0.232,1.933,5.75,172.5,1,0.0307,0.0016,.0009,.0003
0.368,-0.232,1.933,5.75,187.5,1,0.0315,0.0016,0,.0016
0.368,-0.232,1.933,5.75,202.5,1,0.0357,0.0017,.0012,0
0.368,-0.232,1.933,5.75,217.5,1,0.0333,0.0017,.0006,0
0.368,-0.232,1.933,5.75,232.5,1,0.0337,0.0018,.0002,.0011
0.368,-0.232,1.933,5.75,247.5,1,0.0377,0.0020,0,.0013
0.368,-0.232,1.933,5.75,262.5,1,0.0404,0.0021,0,.0017
0.368,-0.232,1.933,5.75,277.5,1,0.0429,0.0023,.0002,.0007
0.368,-0.232,1.933,5.75,292.5,1,0.0528,0.0026,.0006,.0012
0.368,-0.232,1.933,5.75,307.5,1,0.0593,0.0028,0,.0026
0.368,-0.232,1.933,5.75,322.5,1,0.062,0.0032,0,.0019
0.368,-0.232,1.933,5.75,337.5,1,0.0733,0.0038,.0041,0
0.368,-0.232,1.933,5.75,352.5,1,0.0768,0.0042,0,.0011
